y 2015
m 12
p 80.6704 131.506 2016:1:16:5:0:0
p 73.4329 143.775 2016:1:16:6:0:0
p 68.1425 157.493 2016:1:16:7:0:0
p 65.3338 172.419 2016:1:16:8:0:0
p 65.3485 187.821 2016:1:16:9:0:0
p 68.1847 202.739 2016:1:16:10:0:0
p 73.4975 216.446 2016:1:16:11:0:0
p 80.7511 228.707 2016:1:16:12:0:0
p 89.1693 239.689 2016:1:16:13:0:0
p 89.0094 120.335 2016:1:17:4:0:0
p 80.5625 131.328 2016:1:17:5:0:0
p 73.3004 143.61 2016:1:17:6:0:0
p 67.9843 157.35 2016:1:17:7:0:0
p 65.1524 172.31 2016:1:17:8:0:0
p 65.1504 187.756 2016:1:17:9:0:0
p 67.9787 202.718 2016:1:17:10:0:0
p 73.2914 216.464 2016:1:17:11:0:0
p 80.5505 228.754 2016:1:17:12:0:0
p 88.996 239.758 2016:1:17:13:0:0
p 88.9247 120.146 2016:1:18:4:0:0
p 80.4478 131.149 2016:1:18:5:0:0
p 73.161 143.444 2016:1:18:6:0:0
p 67.8193 157.208 2016:1:18:7:0:0
p 64.9642 172.203 2016:1:18:8:0:0
p 64.9461 187.694 2016:1:18:9:0:0
p 67.7672 202.702 2016:1:18:10:0:0
p 73.0807 216.487 2016:1:18:11:0:0
p 80.3461 228.807 2016:1:18:12:0:0
p 88.8181 239.833 2016:1:18:13:0:0
p 88.8337 119.956 2016:1:19:4:0:0
p 80.3265 130.968 2016:1:19:5:0:0
p 73.0148 143.278 2016:1:19:6:0:0
p 67.6474 157.065 2016:1:19:7:0:0
p 64.7695 172.098 2016:1:19:8:0:0
p 64.7357 187.636 2016:1:19:9:0:0
p 67.5503 202.692 2016:1:19:10:0:0
p 72.8654 216.517 2016:1:19:11:0:0
p 80.1379 228.866 2016:1:19:12:0:0
p 88.6357 239.914 2016:1:19:13:0:0
p 88.7363 119.763 2016:1:20:4:0:0
p 80.1986 130.785 2016:1:20:5:0:0
p 72.8619 143.11 2016:1:20:6:0:0
p 67.4687 156.923 2016:1:20:7:0:0
p 64.5682 171.994 2016:1:20:8:0:0
p 64.5192 187.581 2016:1:20:9:0:0
p 67.3282 202.685 2016:1:20:10:0:0
p 72.6457 216.551 2016:1:20:11:0:0
p 79.926 228.931 2016:1:20:12:0:0
p 88.449 240.002 2016:1:20:13:0:0
p 88.6326 119.567 2016:1:21:4:0:0
p 80.064 130.601 2016:1:21:5:0:0
p 72.7022 142.942 2016:1:21:6:0:0
p 67.2833 156.782 2016:1:21:7:0:0
p 64.3604 171.893 2016:1:21:8:0:0
p 64.2967 187.529 2016:1:21:9:0:0
p 67.1009 202.684 2016:1:21:10:0:0
p 72.4217 216.592 2016:1:21:11:0:0
p 79.7107 229.003 2016:1:21:12:0:0
p 88.2582 240.095 2016:1:21:13:0:0
p 88.5224 119.37 2016:1:22:4:0:0
p 79.9229 130.415 2016:1:22:5:0:0
p 72.5359 142.773 2016:1:22:6:0:0
p 67.0913 156.641 2016:1:22:7:0:0
p 64.1462 171.794 2016:1:22:8:0:0
p 64.0684 187.482 2016:1:22:9:0:0
p 66.8685 202.688 2016:1:22:10:0:0
p 72.1935 216.638 2016:1:22:11:0:0
p 79.4918 229.08 2016:1:22:12:0:0
p 88.0634 240.196 2016:1:22:13:0:0
p 88.4058 119.171 2016:1:23:4:0:0
p 79.7752 130.228 2016:1:23:5:0:0
p 72.363 142.604 2016:1:23:6:0:0
p 66.8928 156.5 2016:1:23:7:0:0
p 63.9257 171.696 2016:1:23:8:0:0
p 63.8344 187.438 2016:1:23:9:0:0
p 66.6311 202.696 2016:1:23:10:0:0
p 71.9612 216.69 2016:1:23:11:0:0
p 79.2697 229.163 2016:1:23:12:0:0
p 87.8648 240.302 2016:1:23:13:0:0
p 88.2827 118.97 2016:1:24:4:0:0
p 79.6212 130.04 2016:1:24:5:0:0
p 72.1836 142.434 2016:1:24:6:0:0
p 66.6878 156.36 2016:1:24:7:0:0
p 63.699 171.601 2016:1:24:8:0:0
p 63.5946 187.397 2016:1:24:9:0:0
p 66.3888 202.71 2016:1:24:10:0:0
p 71.7249 216.747 2016:1:24:11:0:0
p 79.0443 229.253 2016:1:24:12:0:0
p 87.6627 240.414 2016:1:24:13:0:0
p 88.1532 118.767 2016:1:25:4:0:0
p 79.4607 129.85 2016:1:25:5:0:0
p 71.9978 142.263 2016:1:25:6:0:0
p 66.4764 156.221 2016:1:25:7:0:0
p 63.4662 171.508 2016:1:25:8:0:0
p 63.3493 187.361 2016:1:25:9:0:0
p 66.1418 202.729 2016:1:25:10:0:0
p 71.4846 216.81 2016:1:25:11:0:0
p 78.8158 229.348 2016:1:25:12:0:0
p 87.457 240.533 2016:1:25:13:0:0
p 88.0172 118.562 2016:1:26:4:0:0
p 79.294 129.659 2016:1:26:5:0:0
p 71.8056 142.092 2016:1:26:6:0:0
p 66.2587 156.082 2016:1:26:7:0:0
p 63.2273 171.417 2016:1:26:8:0:0
p 63.0985 187.328 2016:1:26:9:0:0
p 65.8901 202.752 2016:1:26:10:0:0
p 71.2406 216.879 2016:1:26:11:0:0
p 78.5842 229.45 2016:1:26:12:0:0
p 87.2481 240.657 2016:1:26:13:0:0
p 87.8749 118.356 2016:1:27:4:0:0
p 79.121 129.466 2016:1:27:5:0:0
p 71.6072 141.92 2016:1:27:6:0:0
p 66.0347 155.944 2016:1:27:7:0:0
p 62.9825 171.328 2016:1:27:8:0:0
p 62.8423 187.299 2016:1:27:9:0:0
p 65.6338 202.781 2016:1:27:10:0:0
p 70.9929 216.954 2016:1:27:11:0:0
p 78.3497 229.557 2016:1:27:12:0:0
p 87.036 240.788 2016:1:27:13:0:0
p 87.7261 118.148 2016:1:28:4:0:0
p 78.9418 129.273 2016:1:28:5:0:0
p 71.4025 141.748 2016:1:28:6:0:0
p 65.8047 155.807 2016:1:28:7:0:0
